tags_collected, collisions_in_seconds, time_in_minutes, random_seed
544, 1747.05, 30, 805586
556, 1778.03, 30, 847761
556, 1735.83, 30, 965690
560, 1792.02, 30, 114812
516, 1761.38, 30, 999535
552, 1766.8, 30, 329783
552, 1758.66, 30, 488876
556, 1741.2, 30, 864906
556, 1707.22, 30, 876644
564, 1719.52, 30, 11282
572, 1785.89, 30, 959921
556, 1721.33, 30, 910753
536, 1712.47, 30, 1918
568, 1710.06, 30, 58703
560, 1735.95, 30, 116907
