25058.4, 27570.6
23939.3, 30042.7
25100.4, 28728.6
25175.8, 28197.9
25455.9, 27476.8
23845, 25148.8
26975.6, 27226.9
27481.4, 33623.4
23522.2, 30262.6
26968.1, 28608.4
24117.1, 25350.7
25940.6, 29462.7
26357, 30446.5
24036.7, 30736.6
25062.7, 29907.8
25675.6, 27185.9
25860.5, 28054.8
23462.7, 28933.1
26262, 27483
26460.9, 30026.1
25540.5, 29553
24428, 27078.3
24485.1, 27171.9
25302, 28658.2
28182.8, 27488.9
26609.2, 27910.6
28692.4, 26893.9
26170.2, 32280.2
25035.2, 28919.1
25769.3, 33588
27114.6, 33324.9
25426.8, 32426.8
26616.6, 30144.9
25947.2, 27042.5
25767.6, 29000.4
27467.4, 26291.1
25684, 29618.8
25921.2, 26812.1
26425.8, 27764.7
29793.7, 28605.1
25371.9, 26395.3
25423.8, 28384.9
26029.9, 25300.1
26374.9, 27848.6
26722.2, 29122.8
27707.1, 29335.7
25943.9, 26970.1
24158.6, 27103.2
28399.1, 30859.9
25471, 27329
26331.9, 28238.8
24933.4, 31102.8
24794.2, 26105.3
26290.2, 26064.3
24491.8, 32380
23733, 28987.5
25980.8, 24782.2
25452.7, 28523.3
25285.6, 28186.4
28296.5, 28429
24857.9, 25533.1
27900.8, 25830
25866.2, 24434
22783.3, 30162.9
26449.9, 26596.1
25183.2, 30366.3
26864.5, 32463.5
27143, 25597
25351.7, 29162
26603.6, 25990.2
27206.6, 27217.2
27148, 28541.8
26412.4, 31807.8
27743.6, 27265.2
24907.4, 29198.3
23848.2, 27583.8
25540, 28778.7
28320.1, 30131.9
27001.1, 24647.7
26438.5, 26785.2
24672.8, 29837.2
23537.6, 29854.9
25399.1, 29338.1
26049.3, 27615.5
26629.6, 32505.7
27314.7, 32059.1
27220.1, 27971.7
25605.4, 33136.8
26506.7, 25595.8
25296.7, 26223.1
24769.2, 31125.3
25490.1, 32634.9
26497.1, 27795.4
27907.2, 28852.1
27650.2, 26409.1
26987.4, 27096.6
26200.2, 28597.8
24525.6, 28954.7
27157.8, 35456.7
24645.6, 23986.6
