tags_collected, collisions_in_seconds, time_in_minutes, random_seed
256, 9577.2, 30, 331678
256, 10251.2, 30, 620131
384, 10040.3, 30, 707144
256, 9108.42, 30, 210344
384, 9953.12, 30, 615518
384, 9668.69, 30, 920098
384, 9757.91, 30, 911976
384, 10354.1, 30, 402346
256, 9958.98, 30, 804710
256, 9362.78, 30, 712892
512, 10562, 30, 294021
128, 9902.66, 30, 285614
256, 9517.67, 30, 943153
384, 9988.73, 30, 573275
128, 9681.61, 30, 751496
