tags_collected, collisions_in_seconds, time_in_minutes, random_seed
377, 607712, 30, 403244
356, 607696, 30, 325953
316, 608764, 30, 447404
340, 608858, 30, 520524
333, 608716, 30, 489770
332, 608572, 30, 618531
337, 609133, 30, 714436
352, 609840, 30, 610652
297, 608145, 30, 707569
336, 607956, 30, 461122
318, 608160, 30, 384470
337, 608250, 30, 773413
346, 608295, 30, 258250
318, 609086, 30, 629209
338, 607726, 30, 152892
