Forage: 23, 14, 14, 9, 12, 5, 10, 11, 10, 9, 5, 13, 12, 11, 4, 13, 8, 10, 14, 10, 5, 13, 5, 6, 12, 8, 10, 11, 8, 10
Forage: 27, 19, 13, 9, 11, 10, 11, 8, 11, 6, 7, 12, 8, 11, 11, 8, 14, 11, 12, 5, 7, 6, 7, 8, 9, 13, 12, 11, 10, 11
Forage: 29, 17, 14, 9, 13, 10, 6, 10, 7, 8, 15, 8, 9, 9, 10, 8, 7, 7, 10, 9, 5, 10, 8, 8, 10, 4, 11, 6, 12, 5
Forage: 25, 14, 15, 7, 17, 6, 6, 8, 15, 6, 12, 7, 10, 14, 6, 7, 9, 7, 13, 9, 11, 12, 13, 11, 7, 11, 11, 9, 11, 8
Forage: 23, 22, 10, 13, 8, 10, 4, 9, 11, 11, 8, 11, 7, 9, 9, 9, 9, 13, 10, 11, 10, 9, 10, 14, 9, 9, 13, 12, 6, 9
Forage: 27, 15, 11, 12, 8, 14, 11, 15, 11, 7, 14, 10, 9, 7, 7, 11, 12, 7, 14, 11, 8, 11, 7, 5, 14, 11, 7, 8, 14, 10
Forage: 20, 17, 14, 9, 8, 15, 12, 10, 6, 11, 6, 9, 7, 9, 12, 10, 9, 7, 15, 9, 7, 10, 7, 12, 9, 7, 9, 10, 7, 9
Forage: 26, 13, 12, 5, 11, 8, 7, 10, 11, 11, 14, 6, 8, 16, 12, 12, 6, 9, 7, 12, 9, 10, 10, 7, 7, 9, 9, 10, 10, 7
Forage: 21, 17, 11, 8, 12, 14, 8, 12, 12, 9, 12, 6, 8, 10, 6, 16, 10, 7, 5, 6, 9, 9, 11, 7, 8, 15, 8, 13, 10, 7
Forage: 24, 15, 13, 10, 8, 9, 8, 7, 15, 4, 11, 12, 12, 11, 10, 9, 12, 11, 7, 13, 12, 8, 8, 5, 11, 6, 8, 15, 15, 9
Forage: 27, 14, 12, 11, 9, 9, 8, 10, 14, 6, 13, 13, 10, 10, 11, 10, 8, 10, 9, 8, 6, 9, 8, 8, 6, 3, 10, 13, 10, 9
Forage: 22, 22, 14, 10, 12, 12, 11, 12, 10, 7, 10, 10, 6, 7, 10, 8, 7, 11, 7, 9, 7, 10, 10, 7, 9, 10, 8, 9, 13, 6
Forage: 21, 18, 15, 8, 8, 6, 13, 11, 8, 12, 8, 7, 11, 7, 13, 6, 8, 11, 9, 11, 9, 19, 10, 7, 14, 10, 4, 9, 7, 9
Forage: 26, 17, 10, 8, 9, 13, 7, 8, 8, 9, 6, 6, 9, 11, 7, 9, 8, 8, 12, 9, 7, 6, 7, 9, 7, 13, 12, 14, 7, 8
Forage: 28, 17, 15, 11, 9, 9, 7, 7, 12, 6, 8, 7, 7, 5, 10, 9, 11, 16, 12, 11, 6, 9, 9, 7, 4, 6, 13, 14, 8, 10
